(E: 1,C: 69) Reloj 21.34941 | Clientes en cola: 4
(E: 1,C: 70) Reloj 48.18757 | Clientes en cola: 1
(E: 1,C: 71) Reloj 1.46641 | Clientes en cola: 1
(E: 1,C: 71) Reloj 1.99264 | Clientes en cola: 2
(E: 1,C: 72) Reloj 15.91722 | Clientes en cola: 1
(E: 1,C: 73) Reloj 16.46363 | Clientes en cola: 1
(E: 1,C: 74) Reloj 32.97054 | Clientes en cola: 1
(E: 1,C: 75) Reloj 24.95645 | Clientes en cola: 1
(E: 1,C: 76) Reloj 24.16758 | Clientes en cola: 1
(E: 1,C: 77) Reloj 16.92887 | Clientes en cola: 1
(E: 1,C: 78) Reloj 14.60326 | Clientes en cola: 1
(E: 1,C: 78) Reloj 15.33265 | Clientes en cola: 2
(E: 1,C: 79) Reloj 55.91997 | Clientes en cola: 1
(E: 1,C: 80) Reloj 8.69168 | Clientes en cola: 1
(E: 1,C: 80) Reloj 18.12591 | Clientes en cola: 2
(E: 1,C: 81) Reloj 21.64130 | Clientes en cola: 1
(E: 1,C: 82) Reloj 6.53185 | Clientes en cola: 1
(E: 1,C: 83) Reloj 35.89054 | Clientes en cola: 1
(E: 1,C: 84) Reloj 7.56299 | Clientes en cola: 1
(E: 1,C: 84) Reloj 18.34962 | Clientes en cola: 2
(E: 1,C: 85) Reloj 43.66767 | Clientes en cola: 1
(E: 1,C: 86) Reloj 41.23461 | Clientes en cola: 1
(E: 1,C: 87) Reloj 56.16392 | Clientes en cola: 1
(E: 1,C: 88) Reloj 44.86988 | Clientes en cola: 1
(E: 1,C: 89) Reloj 23.28510 | Clientes en cola: 1
(E: 1,C: 90) Reloj 14.51621 | Clientes en cola: 1
(E: 1,C: 91) Reloj 32.69116 | Clientes en cola: 1
(E: 1,C: 92) Reloj 11.22814 | Clientes en cola: 1
(E: 1,C: 92) Reloj 23.95456 | Clientes en cola: 2
(E: 1,C: 93) Reloj 30.15902 | Clientes en cola: 1
(E: 1,C: 94) Reloj 11.31980 | Clientes en cola: 1
(E: 1,C: 94) Reloj 17.26443 | Clientes en cola: 2
(E: 1,C: 95) Reloj 1.33081 | Clientes en cola: 1
(E: 1,C: 95) Reloj 1.42691 | Clientes en cola: 2
(E: 1,C: 95) Reloj 3.21447 | Clientes en cola: 6
(E: 1,C: 95) Reloj 5.00204 | Clientes en cola: 10
(E: 1,C: 95) Reloj 6.78960 | Clientes en cola: 15
(E: 1,C: 95) Reloj 8.57716 | Clientes en cola: 19
(E: 1,C: 95) Reloj 10.36473 | Clientes en cola: 25
(E: 1,C: 95) Reloj 12.15229 | Clientes en cola: 30
(E: 1,C: 95) Reloj 13.83687 | Clientes en cola: 35
(E: 1,C: 95) Reloj 13.93986 | Clientes en cola: 39
(E: 1,C: 96) Reloj 25.92748 | Clientes en cola: 1
(E: 1,C: 97) Reloj 31.75129 | Clientes en cola: 1
(E: 1,C: 98) Reloj 32.64961 | Clientes en cola: 1
(E: 1,C: 99) Reloj 6.49873 | Clientes en cola: 1
(E: 1,C: 99) Reloj 15.22615 | Clientes en cola: 2
(E: 2,C: 0) Reloj 0.75138 | Clientes en cola: 1
(E: 2,C: 0) Reloj 16.15911 | Clientes en cola: 2
(E: 2,C: 1) Reloj 33.73190 | Clientes en cola: 1
(E: 2,C: 2) Reloj 31.91734 | Clientes en cola: 1
(E: 2,C: 3) Reloj 13.81168 | Clientes en cola: 1
(E: 2,C: 3) Reloj 24.09161 | Clientes en cola: 2
(E: 2,C: 4) Reloj 13.27951 | Clientes en cola: 1
(E: 2,C: 4) Reloj 17.57904 | Clientes en cola: 2
(E: 2,C: 5) Reloj 34.82578 | Clientes en cola: 1
(E: 2,C: 6) Reloj 33.92052 | Clientes en cola: 1
(E: 2,C: 7) Reloj 11.85683 | Clientes en cola: 1
(E: 2,C: 7) Reloj 17.02438 | Clientes en cola: 2
(E: 2,C: 8) Reloj 9.89014 | Clientes en cola: 1
(E: 2,C: 8) Reloj 10.49009 | Clientes en cola: 2
(E: 2,C: 9) Reloj 11.02485 | Clientes en cola: 1
(E: 2,C: 9) Reloj 25.34331 | Clientes en cola: 2
(E: 2,C: 10) Reloj 25.72077 | Clientes en cola: 1
(E: 2,C: 11) Reloj 3.56785 | Clientes en cola: 1
(E: 2,C: 11) Reloj 9.34775 | Clientes en cola: 2
(E: 2,C: 12) Reloj 42.68807 | Clientes en cola: 1
(E: 2,C: 13) Reloj 20.07275 | Clientes en cola: 1
(E: 2,C: 14) Reloj 2.71340 | Clientes en cola: 1
(E: 2,C: 14) Reloj 5.55583 | Clientes en cola: 2
(E: 2,C: 15) Reloj 23.87248 | Clientes en cola: 1
(E: 2,C: 16) Reloj 1.48294 | Clientes en cola: 1
(E: 2,C: 16) Reloj 15.53893 | Clientes en cola: 2
(E: 2,C: 17) Reloj 36.91283 | Clientes en cola: 1
(E: 2,C: 18) Reloj 26.86983 | Clientes en cola: 1
(E: 2,C: 19) Reloj 19.85684 | Clientes en cola: 1
(E: 2,C: 20) Reloj 0.06779 | Clientes en cola: 1
(E: 2,C: 20) Reloj 10.97378 | Clientes en cola: 2
(E: 2,C: 21) Reloj 0.31165 | Clientes en cola: 1
(E: 2,C: 21) Reloj 2.66596 | Clientes en cola: 2
(E: 2,C: 22) Reloj 6.44905 | Clientes en cola: 1
(E: 2,C: 22) Reloj 6.89752 | Clientes en cola: 2
(E: 2,C: 22) Reloj 9.21446 | Clientes en cola: 5
(E: 2,C: 22) Reloj 11.53139 | Clientes en cola: 9
(E: 2,C: 22) Reloj 13.84833 | Clientes en cola: 13
(E: 2,C: 23) Reloj 11.20083 | Clientes en cola: 1
(E: 2,C: 24) Reloj 13.13172 | Clientes en cola: 1
(E: 2,C: 24) Reloj 21.12616 | Clientes en cola: 2
(E: 2,C: 25) Reloj 22.27218 | Clientes en cola: 1
(E: 2,C: 26) Reloj 10.65197 | Clientes en cola: 1
(E: 2,C: 26) Reloj 11.05246 | Clientes en cola: 2
(E: 2,C: 26) Reloj 11.94726 | Clientes en cola: 5
(E: 2,C: 26) Reloj 16.46236 | Clientes en cola: 7
(E: 2,C: 27) Reloj 12.31737 | Clientes en cola: 1
(E: 2,C: 27) Reloj 17.79890 | Clientes en cola: 2
(E: 2,C: 28) Reloj 9.54387 | Clientes en cola: 1
(E: 2,C: 28) Reloj 11.60382 | Clientes en cola: 2
(E: 2,C: 29) Reloj 26.57021 | Clientes en cola: 1
(E: 2,C: 30) Reloj 21.95576 | Clientes en cola: 1
(E: 2,C: 31) Reloj 3.96719 | Clientes en cola: 1
(E: 2,C: 31) Reloj 4.71850 | Clientes en cola: 2
(E: 2,C: 32) Reloj 24.29707 | Clientes en cola: 1
(E: 2,C: 33) Reloj 57.73047 | Clientes en cola: 1
(E: 2,C: 34) Reloj 21.78552 | Clientes en cola: 1
(E: 2,C: 35) Reloj 38.26739 | Clientes en cola: 1
(E: 2,C: 36) Reloj 16.57134 | Clientes en cola: 1
(E: 2,C: 37) Reloj 17.41010 | Clientes en cola: 1
(E: 2,C: 38) Reloj 31.09437 | Clientes en cola: 1
(E: 2,C: 39) Reloj 39.23949 | Clientes en cola: 1
(E: 2,C: 40) Reloj 14.70470 | Clientes en cola: 1
(E: 2,C: 40) Reloj 22.87073 | Clientes en cola: 2
(E: 2,C: 41) Reloj 11.63507 | Clientes en cola: 1
(E: 2,C: 42) Reloj 3.98052 | Clientes en cola: 1
(E: 2,C: 42) Reloj 12.75245 | Clientes en cola: 2
(E: 2,C: 42) Reloj 14.98420 | Clientes en cola: 4
(E: 2,C: 43) Reloj 19.71060 | Clientes en cola: 1
(E: 2,C: 44) Reloj 1.87502 | Clientes en cola: 1
(E: 2,C: 44) Reloj 10.75493 | Clientes en cola: 2
(E: 2,C: 45) Reloj 8.96486 | Clientes en cola: 1
(E: 2,C: 46) Reloj 10.72469 | Clientes en cola: 1
(E: 2,C: 47) Reloj 3.61270 | Clientes en cola: 1
(E: 2,C: 47) Reloj 4.91250 | Clientes en cola: 2
(E: 2,C: 47) Reloj 10.55666 | Clientes en cola: 4
(E: 2,C: 48) Reloj 3.45262 | Clientes en cola: 1
(E: 2,C: 48) Reloj 12.72174 | Clientes en cola: 2
(E: 2,C: 49) Reloj 6.96279 | Clientes en cola: 1
(E: 2,C: 49) Reloj 7.48093 | Clientes en cola: 2
(E: 2,C: 50) Reloj 13.86225 | Clientes en cola: 1
(E: 2,C: 50) Reloj 22.26416 | Clientes en cola: 2
(E: 2,C: 51) Reloj 36.33255 | Clientes en cola: 1
(E: 2,C: 52) Reloj 8.52066 | Clientes en cola: 1
(E: 2,C: 53) Reloj 16.29440 | Clientes en cola: 1
