(E: 2,C: 11) Reloj 20.53417 | Clientes en cola: 1
(E: 2,C: 12) Reloj 35.14049 | Clientes en cola: 1
(E: 2,C: 13) Reloj 30.45330 | Clientes en cola: 1
(E: 2,C: 14) Reloj 16.00003 | Clientes en cola: 1
(E: 2,C: 15) Reloj 1.08782 | Clientes en cola: 1
(E: 2,C: 15) Reloj 7.26086 | Clientes en cola: 2
(E: 2,C: 15) Reloj 12.39330 | Clientes en cola: 6
(E: 2,C: 15) Reloj 13.77854 | Clientes en cola: 9
(E: 2,C: 16) Reloj 35.17561 | Clientes en cola: 1
(E: 2,C: 17) Reloj 1.89814 | Clientes en cola: 1
(E: 2,C: 17) Reloj 14.98061 | Clientes en cola: 2
(E: 2,C: 18) Reloj 13.40391 | Clientes en cola: 1
(E: 2,C: 19) Reloj 6.25131 | Clientes en cola: 1
(E: 2,C: 19) Reloj 11.68911 | Clientes en cola: 2
(E: 2,C: 20) Reloj 61.55808 | Clientes en cola: 1
(E: 2,C: 21) Reloj 8.35915 | Clientes en cola: 1
(E: 2,C: 22) Reloj 63.72368 | Clientes en cola: 1
(E: 2,C: 23) Reloj 32.00714 | Clientes en cola: 1
(E: 2,C: 24) Reloj 24.21472 | Clientes en cola: 1
(E: 2,C: 25) Reloj 43.15596 | Clientes en cola: 1
(E: 2,C: 26) Reloj 40.34053 | Clientes en cola: 1
(E: 2,C: 27) Reloj 18.78470 | Clientes en cola: 1
(E: 2,C: 28) Reloj 24.04801 | Clientes en cola: 1
(E: 2,C: 29) Reloj 2.71697 | Clientes en cola: 1
(E: 2,C: 29) Reloj 19.33152 | Clientes en cola: 2
(E: 2,C: 30) Reloj 19.35629 | Clientes en cola: 1
(E: 2,C: 31) Reloj 8.53838 | Clientes en cola: 1
(E: 2,C: 31) Reloj 18.85256 | Clientes en cola: 2
(E: 2,C: 32) Reloj 9.27928 | Clientes en cola: 1
(E: 2,C: 32) Reloj 9.37265 | Clientes en cola: 2
(E: 2,C: 33) Reloj 11.72472 | Clientes en cola: 1
(E: 2,C: 33) Reloj 26.06173 | Clientes en cola: 2
(E: 2,C: 34) Reloj 87.44302 | Clientes en cola: 1
(E: 2,C: 35) Reloj 62.32988 | Clientes en cola: 1
(E: 2,C: 36) Reloj 16.91234 | Clientes en cola: 1
(E: 2,C: 37) Reloj 101.05637 | Clientes en cola: 1
(E: 2,C: 38) Reloj 6.16788 | Clientes en cola: 1
(E: 2,C: 39) Reloj 29.53827 | Clientes en cola: 1
(E: 2,C: 40) Reloj 30.19826 | Clientes en cola: 1
(E: 2,C: 41) Reloj 0.40545 | Clientes en cola: 1
(E: 2,C: 41) Reloj 5.00689 | Clientes en cola: 2
(E: 2,C: 41) Reloj 13.13917 | Clientes en cola: 4
(E: 2,C: 41) Reloj 14.71318 | Clientes en cola: 7
(E: 2,C: 42) Reloj 24.29545 | Clientes en cola: 1
(E: 2,C: 43) Reloj 12.52156 | Clientes en cola: 1
(E: 2,C: 43) Reloj 16.03183 | Clientes en cola: 2
(E: 2,C: 44) Reloj 27.40493 | Clientes en cola: 1
(E: 2,C: 45) Reloj 1.13966 | Clientes en cola: 1
(E: 2,C: 45) Reloj 9.30089 | Clientes en cola: 2
(E: 2,C: 45) Reloj 14.55201 | Clientes en cola: 5
(E: 2,C: 45) Reloj 15.64393 | Clientes en cola: 7
(E: 2,C: 46) Reloj 0.15404 | Clientes en cola: 1
(E: 2,C: 46) Reloj 3.01682 | Clientes en cola: 2
(E: 2,C: 46) Reloj 14.01206 | Clientes en cola: 7
(E: 2,C: 47) Reloj 12.65561 | Clientes en cola: 1
(E: 2,C: 47) Reloj 21.42976 | Clientes en cola: 2
(E: 2,C: 48) Reloj 12.10283 | Clientes en cola: 1
(E: 2,C: 48) Reloj 18.60399 | Clientes en cola: 2
(E: 2,C: 49) Reloj 2.24472 | Clientes en cola: 1
(E: 2,C: 49) Reloj 14.01479 | Clientes en cola: 2
(E: 2,C: 50) Reloj 1.74947 | Clientes en cola: 1
(E: 2,C: 50) Reloj 6.54745 | Clientes en cola: 2
(E: 2,C: 50) Reloj 14.85569 | Clientes en cola: 9
(E: 2,C: 51) Reloj 0.62402 | Clientes en cola: 1
(E: 2,C: 51) Reloj 11.94984 | Clientes en cola: 2
(E: 2,C: 52) Reloj 27.47060 | Clientes en cola: 1
(E: 2,C: 53) Reloj 7.65223 | Clientes en cola: 1
(E: 2,C: 53) Reloj 10.75493 | Clientes en cola: 2
(E: 2,C: 53) Reloj 11.20593 | Clientes en cola: 4
(E: 2,C: 53) Reloj 12.29397 | Clientes en cola: 6
(E: 2,C: 53) Reloj 13.37384 | Clientes en cola: 8
(E: 2,C: 53) Reloj 22.26153 | Clientes en cola: 10
(E: 2,C: 54) Reloj 11.61288 | Clientes en cola: 1
